state_nm,Arson,Attempt to murder,CH not amounting to murder,Cheating/Criminal breach of trust/Counterfeiting,Dacoity/Robbery/Theft/Burglary,Harrasment,Hurt,Kidnapping(Children),Kidnapping(Total),Kidnapping(Women),Murder,Others,Rape(Custodial),Rape(Others),Rape(Total),Riots,Theft(Auto),Theft(Other),Total Cognizable Under IPC,year
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.0,0.37,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.07,2001
Andhra Pradesh,1.64,2.21,0.0,0.0,27.41,25.68,7.05,13.04,4.03,0.0,2.78,10.610000000000001,0.0,3.95,3.95,1.5,6.83,13.25,6.04,2001
Arunanchal Pradesh,0.0,0.0,0.0,0.0,23.270000000000003,1.04,0.44,0.0,0.0,0.0,0.19,0.19,0.0,1.19,1.19,0.0,0.49,0.99,0.58,2001
Assam,1.64,0.0,0.0,3.48,6.84,0.0,0.24,0.0,0.0,0.0,0.56,0.0,0.0,0.79,0.79,0.66,1.14,3.74,1.07,2001
Bihar,0.0,2.72,0.0,0.87,12.669999999999998,0.0,1.05,0.0,0.0,0.0,1.67,9.68,0.0,2.37,2.37,6.38,0.81,1.64,2.44,2001
Chandigarh,0.0,0.0,0.0,0.0,3.0,0.17,0.28,0.0,0.67,0.97,0.0,0.11,0.0,0.0,0.0,0.05,0.16,0.88,0.28,2001
Chhattisgarh,1.64,3.57,7.89,0.0,26.480000000000004,10.600000000000001,3.9,0.0,8.72,12.62,6.31,10.82,0.0,12.25,12.25,2.53,6.67,5.22,5.05,2001
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.01,2001
Daman & Diu,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2001
Delhi,0.0,2.55,7.89,10.17,25.060000000000002,4.99,1.23,13.04,8.72,6.8,7.79,11.01,0.0,4.94,4.94,0.99,9.59,6.94,3.46,2001
Goa,3.28,1.19,0.0,0.0,3.51,0.35,0.04,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.33,0.81,0.42,0.28,2001
Gujarat,6.56,5.61,0.0,17.85,32.11,4.67,12.75,6.52,22.82,30.1,6.86,44.79,0.0,1.78,1.78,10.46,33.5,7.19,11.09,2001
Haryana,1.64,7.82,28.95,80.91,103.57999999999998,14.92,7.32,17.39,9.4,5.83,8.35,31.31,0.0,7.51,7.51,6.1,5.37,2.7,5.82,2001
Himachal Pradesh,3.28,0.17,0.0,0.0,1.1300000000000001,0.17,0.48,0.0,2.01,2.91,0.0,0.6,0.0,1.38,1.38,1.17,0.33,0.21,0.55,2001
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2001
Jharkhand,0.0,5.27,2.63,20.59,7.58,3.44,0.02,4.35,5.37,5.83,8.35,0.31,0.0,7.91,7.91,0.7,0.0,1.71,1.21,2001
Karnataka,0.0,0.51,0.0,2.61,18.16,1.3599999999999999,8.48,0.0,0.0,0.0,2.78,9.97,0.0,1.38,1.38,0.94,1.46,2.13,2.94,2001
Kerala,4.92,0.51,0.0,0.0,1.9300000000000002,0.0,0.11,0.0,0.0,0.0,0.56,0.81,0.0,0.59,0.59,1.13,0.49,0.57,0.54,2001
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
Madhya Pradesh,32.79,26.19,28.95,57.59,44.11,82.8,28.67,10.87,11.41,11.65,19.67,102.25999999999999,0.0,33.2,33.2,12.9,2.28,9.32,23.76,2001
Maharashtra,27.87,10.37,10.53,54.91,119.35,22.77,19.67,8.7,10.07,10.68,16.88,90.2,0.0,11.26,11.26,23.32,14.31,25.79,17.51,2001
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
Meghalaya,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,1.11,0.35,0.0,0.2,0.2,0.0,0.0,0.6,0.28,2001
Mizoram,0.0,0.0,0.0,0.0,0.62,0.17,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.2,0.2,0.0,1.14,0.16,0.13,2001
Nagaland,0.0,0.0,0.0,0.0,1.02,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21,0.09,2001
Odisha,0.0,0.85,0.0,1.74,6.36,0.0,0.26,0.0,0.0,0.0,0.37,1.7,0.0,1.38,1.38,0.94,0.0,1.9,0.9,2001
Puducherry,0.0,0.0,0.0,0.0,0.04,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,2001
Punjab,0.0,0.0,0.0,0.87,0.2,0.35,0.02,0.0,1.34,1.94,0.0,1.7600000000000002,0.0,0.2,0.2,0.0,0.0,0.18,0.1,2001
Rajasthan,11.48,15.99,2.63,47.56,19.71,18.26,7.36,26.09,14.77,9.71,9.28,45.14,0.0,4.94,4.94,28.72,11.22,6.03,12.22,2001
Sikkim,0.0,0.0,0.0,0.0,0.16999999999999998,0.84,0.0,0.0,0.0,0.0,0.74,0.05,0.0,0.2,0.2,0.0,0.0,0.1,0.06,2001
Tamil Nadu,0.0,14.29,0.0,0.0,10.52,4.55,0.33,0.0,0.0,0.0,2.04,3.1500000000000004,0.0,0.2,0.2,0.8,2.44,7.04,2.65,2001
Tripura,3.28,0.17,0.0,0.0,0.1,0.17,0.07,0.0,0.0,0.0,0.37,0.06,0.0,0.0,0.0,0.19,0.0,0.03,0.08,2001
Uttar Pradesh,0.0,0.0,10.53,0.87,1.99,1.68,0.15,0.0,0.67,0.97,2.78,21.200000000000003,0.0,2.17,2.17,0.09,0.65,0.7,0.64,2001
Uttarakhand,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2001
West Bengal,0.0,0.0,0.0,0.0,1.1099999999999999,0.0,0.0,0.0,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.31,0.11,2001
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.02,2002
Andhra Pradesh,1.75,1.1,0.0,55.32,21.09,9.290000000000001,6.7,14.29,5.45,1.44,3.46,16.79,0.0,6.72,6.72,1.41,11.13,9.6,5.86,2002
Arunanchal Pradesh,0.0,1.57,0.0,0.0,3.4499999999999997,0.16,0.5,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.84,0.0,1.0,0.53,2002
Assam,4.68,1.42,0.0,0.0,14.100000000000001,0.0,0.34,11.11,11.39,11.51,2.26,0.47,0.0,3.45,3.45,0.73,0.0,2.91,1.33,2002
Bihar,0.0,0.79,0.0,3.0,11.13,0.48,2.83,4.76,1.98,0.72,1.05,12.18,0.0,0.18,0.18,5.43,0.42,1.66,2.61,2002
Chandigarh,0.0,0.47,0.0,0.0,2.17,0.5,0.16,1.59,0.99,0.72,0.3,0.15,0.0,0.73,0.73,0.21,0.85,0.46,0.28,2002
Chhattisgarh,5.26,2.67,4.17,9.0,17.5,5.99,4.03,0.0,2.48,3.6,5.86,17.07,0.0,13.61,13.61,4.12,4.93,4.42,5.02,2002
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
Delhi,0.58,1.89,16.67,25.94,33.71,4.24,1.28,7.94,4.46,2.88,5.26,7.359999999999999,0.0,5.44,5.44,1.62,10.0,11.77,4.41,2002
Goa,0.0,0.16,0.0,0.0,1.9600000000000002,0.66,0.06,0.0,0.0,0.0,0.15,0.08,0.0,0.18,0.18,0.0,0.42,0.56,0.27,2002
Gujarat,59.06,11.32,0.0,18.66,52.62,1.44,6.64,7.94,9.9,10.79,7.82,36.92,0.0,2.18,2.18,15.24,16.34,5.95,9.39,2002
Haryana,0.58,6.45,12.5,67.49000000000001,79.59,50.83,7.94,9.52,9.41,9.35,8.27,32.27,0.0,3.63,3.63,7.72,12.96,3.93,7.4,2002
Himachal Pradesh,0.58,0.0,4.17,0.0,1.15,0.16,0.4,0.0,0.0,0.0,0.9,0.75,0.0,1.09,1.09,0.73,0.56,0.36,0.47,2002
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2002
Jharkhand,0.0,0.63,0.0,1.55,8.51,1.76,0.52,3.17,2.48,2.16,0.9,16.82,0.0,6.9,6.9,2.82,1.13,2.25,2.92,2002
Karnataka,0.0,0.79,4.17,0.0,9.13,0.34,0.52,1.59,0.99,0.72,2.56,1.0699999999999998,0.0,0.36,0.36,0.57,2.11,2.3,1.06,2002
Kerala,2.92,1.26,0.0,0.0,5.0600000000000005,0.16,0.2,0.0,0.0,0.0,1.2,0.35,0.0,0.36,0.36,3.76,0.0,1.17,0.83,2002
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
Madhya Pradesh,10.53,32.86,37.5,19.740000000000002,50.870000000000005,92.97,39.9,20.63,14.36,11.51,20.9,123.81,0.0,31.4,31.4,13.73,5.63,12.77,27.91,2002
Maharashtra,5.85,20.44,12.5,93.19999999999999,128.0,21.04,21.57,11.11,8.91,7.91,21.65,56.09,0.0,9.98,9.98,25.52,24.23,23.21,17.83,2002
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002
Meghalaya,1.75,0.16,0.0,0.0,6.61,0.32,0.02,1.59,0.5,0.0,0.6,0.09,0.0,1.27,1.27,0.0,0.14,0.38,0.25,2002
Mizoram,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.45,0.15,0.0,1.45,1.45,0.0,0.0,0.51,0.2,2002
Nagaland,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.04,2002
Odisha,0.58,0.94,0.0,0.0,5.359999999999999,0.8,0.12,0.0,0.5,0.72,1.95,1.19,0.0,1.09,1.09,0.21,0.0,1.28,0.75,2002
Puducherry,0.0,0.0,0.0,0.0,0.16,0.16,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.05,0.06,2002
Punjab,0.0,0.31,0.0,3.7700000000000005,7.71,2.36,0.44,0.0,1.49,2.16,1.35,3.78,0.0,0.91,0.91,0.0,0.0,0.49,0.54,2002
Rajasthan,3.51,13.68,4.17,2.33,23.970000000000002,3.53,4.79,4.76,6.93,7.91,6.77,37.35,0.0,5.26,5.26,14.09,6.2,4.67,7.06,2002
Sikkim,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.01,2002
Tamil Nadu,2.34,0.94,4.17,0.0,14.58,2.3,0.8,0.0,8.42,12.23,3.46,27.36,0.0,1.27,1.27,0.94,2.54,7.84,2.53,2002
Tripura,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.03,2002
Uttar Pradesh,0.0,0.16,0.0,0.0,0.17,0.34,0.12,0.0,8.91,12.95,2.11,7.349999999999999,0.0,2.18,2.18,0.26,0.14,0.18,0.31,2002
Uttarakhand,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2002
West Bengal,0.0,0.0,0.0,0.0,0.11,0.16,0.0,0.0,0.5,0.72,0.3,0.05,0.0,0.36,0.36,0.0,0.14,0.1,0.06,2002
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2003
Andhra Pradesh,13.64,3.89,8.0,18.84,31.119999999999997,27.81,8.85,12.73,11.54,11.17,6.88,28.67,0.0,10.47,10.47,5.79,8.22,11.11,7.45,2003
Arunanchal Pradesh,0.0,0.0,0.0,0.0,3.1900000000000004,0.0,0.73,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.17,0.0,1.3,0.79,2003
Assam,0.0,0.0,0.0,11.43,6.529999999999999,0.0,0.02,14.55,4.27,1.12,1.55,0.33,0.0,1.5,1.5,3.09,0.0,4.74,1.53,2003
Bihar,2.27,2.12,4.0,29.23,14.149999999999999,0.0,1.26,14.55,3.42,0.0,2.58,8.36,0.0,0.75,0.75,1.99,0.12,0.82,1.07,2003
Chandigarh,0.0,0.18,0.0,0.0,3.68,0.0,0.22,0.0,0.0,0.0,0.17,0.15,0.0,0.37,0.37,0.88,2.7,0.97,0.45,2003
Chhattisgarh,15.91,2.83,8.0,5.7,23.43,6.17,3.98,1.82,1.28,1.12,5.16,20.83,0.0,11.4,11.4,4.36,4.91,4.38,5.82,2003
Dadara & Nagar Havelli,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2003
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01,2003
Delhi,0.0,3.19,4.0,13.440000000000001,21.31,1.8,1.29,3.64,4.7,5.03,8.26,2.28,0.0,4.49,4.49,0.0,5.03,5.81,3.02,2003
Goa,0.0,0.0,0.0,0.0,2.7199999999999998,0.0,0.05,0.0,0.43,0.56,0.69,1.34,0.0,0.0,0.0,0.06,0.98,0.41,0.34,2003
Gujarat,18.18,7.08,4.0,23.14,25.65,1.9,7.08,7.27,15.38,17.88,7.57,31.78,0.0,2.43,2.43,9.16,16.44,7.14,7.08,2003
Haryana,6.82,7.79,36.0,97.27,57.13,29.59,7.54,9.09,8.12,7.82,6.2,19.39,0.0,3.18,3.18,7.12,5.15,2.7,5.87,2003
Himachal Pradesh,0.0,0.18,4.0,0.0,1.05,0.41,0.39,0.0,0.0,0.0,0.34,2.25,0.0,1.5,1.5,1.6,0.25,0.15,0.49,2003
Jammu & Kashmir,0.0,0.88,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.05,0.07,2003
Jharkhand,0.0,12.04,0.0,36.269999999999996,32.0,3.73,1.38,0.0,2.99,3.91,1.55,3.41,0.0,2.06,2.06,7.84,0.98,1.73,2.87,2003
Karnataka,0.0,0.88,0.0,0.0,8.66,0.27,1.21,0.0,0.0,0.0,1.03,0.8700000000000001,0.0,0.19,0.19,1.05,1.6,2.17,1.21,2003
Kerala,0.0,0.18,0.0,0.0,8.219999999999999,0.54,3.86,0.0,0.0,0.0,0.86,4.95,0.0,1.31,1.31,8.0,1.1,2.4,2.42,2003
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003
Madhya Pradesh,18.18,26.55,16.0,3.52,58.059999999999995,83.97,28.86,23.64,17.52,15.64,16.18,141.32,0.0,35.33,35.33,14.29,13.01,12.39,28.49,2003
Maharashtra,13.64,13.98,4.0,21.91,144.34,17.119999999999997,23.59,12.73,11.11,10.61,22.72,89.91,0.0,10.84,10.84,24.56,26.01,23.8,18.42,2003
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003
Meghalaya,0.0,0.35,4.0,0.0,3.1199999999999997,0.0,0.05,0.0,0.0,0.0,0.69,0.06,0.0,1.12,1.12,0.0,0.0,0.18,0.13,2003
Mizoram,0.0,0.0,0.0,0.0,1.28,0.14,0.05,0.0,0.0,0.0,0.17,0.22,0.0,0.56,0.56,0.0,0.0,0.31,0.19,2003
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003
Odisha,2.27,0.71,0.0,0.7,7.380000000000001,1.9,0.36,0.0,0.85,1.12,2.07,0.91,0.0,2.24,2.24,0.66,0.0,3.11,1.27,2003
Puducherry,2.27,0.0,0.0,0.0,0.62,0.0,0.05,0.0,0.43,0.56,0.52,0.03,0.0,0.19,0.19,0.0,0.12,0.43,0.14,2003
Punjab,0.0,1.42,4.0,0.0,1.02,0.68,0.22,0.0,0.0,0.0,0.69,5.97,0.0,0.56,0.56,0.0,0.74,0.25,0.4,2003
Rajasthan,6.82,13.45,0.0,36.44,18.36,4.88,7.2,0.0,10.68,13.97,8.26,23.62,0.0,6.54,6.54,8.06,9.69,4.87,6.64,2003
Sikkim,0.0,0.0,0.0,0.0,0.13,0.14,0.02,0.0,0.0,0.0,0.52,0.06,0.0,0.37,0.37,0.06,0.0,0.08,0.07,2003
Tamil Nadu,0.0,2.3,0.0,1.41,20.189999999999998,16.16,1.72,0.0,2.56,3.35,4.48,11.82,0.0,1.68,1.68,0.72,2.94,8.1,3.29,2003
Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003
Uttar Pradesh,0.0,0.0,0.0,0.0,0.28,1.53,0.02,0.0,4.7,6.15,0.69,0.26,0.0,0.0,0.0,0.39,0.0,0.25,0.23,2003
Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2003
West Bengal,0.0,0.0,4.0,0.0,6.0,0.41,0.0,0.0,0.0,0.0,0.17,0.07,0.0,0.75,0.75,0.06,0.0,0.36,0.16,2003
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.28,0.0,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.05,2004
Andhra Pradesh,7.84,1.68,5.0,7.99,22.669999999999998,14.830000000000002,3.95,1.25,3.41,4.23,4.46,6.67,0.0,7.01,7.01,1.84,7.49,11.41,5.27,2004
Arunanchal Pradesh,0.0,0.0,0.0,0.0,1.5999999999999999,0.0,0.47,0.0,0.0,0.0,0.34,0.45,0.0,0.0,0.0,0.06,0.0,0.5,0.37,2004
Assam,0.0,0.0,0.0,0.0,13.46,0.0,0.0,8.75,7.51,7.04,1.37,0.69,0.0,1.37,1.37,0.89,1.22,2.57,1.34,2004
Bihar,0.0,0.93,0.0,1.74,5.3999999999999995,0.19,0.15,5.0,1.37,0.0,1.72,3.0100000000000002,0.0,0.61,0.61,1.14,0.37,1.11,0.86,2004
Chandigarh,0.0,0.37,0.0,0.0,2.49,0.0,0.15,0.0,0.0,0.0,0.17,0.68,0.0,0.3,0.3,1.02,0.75,0.48,0.42,2004
Chhattisgarh,3.92,5.22,0.0,1.16,25.46,19.13,6.14,3.75,5.12,5.63,7.03,18.29,0.0,9.91,9.91,4.64,4.31,3.69,6.06,2004
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2004
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004
Delhi,0.0,2.8,0.0,6.4,20.93,6.57,1.1,3.75,10.24,12.68,6.17,9.54,0.0,10.98,10.98,0.25,8.9,3.71,3.5,2004
Goa,0.0,0.37,0.0,0.0,0.8400000000000001,0.47,0.07,0.0,1.02,1.41,0.69,1.6700000000000002,0.0,0.76,0.76,0.25,0.37,0.31,0.25,2004
Gujarat,5.88,3.36,0.0,34.1,39.480000000000004,13.16,8.62,0.0,9.22,12.68,4.29,35.980000000000004,0.0,3.51,3.51,13.53,15.36,5.84,7.39,2004
Haryana,13.73,4.48,15.0,60.53,50.21000000000001,27.09,6.14,7.5,6.48,6.1,5.15,26.15,0.0,3.66,3.66,8.32,6.74,2.11,4.94,2004
Himachal Pradesh,0.0,0.19,0.0,0.0,1.04,0.0,0.54,3.75,1.37,0.47,0.34,0.8,0.0,0.91,0.91,0.76,0.28,0.25,0.46,2004
Jammu & Kashmir,0.0,0.0,5.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.02,0.04,2004
Jharkhand,0.0,12.69,0.0,23.59,28.459999999999997,5.26,1.4,0.0,2.39,3.29,1.54,3.89,0.0,1.68,1.68,9.02,0.75,1.42,2.87,2004
Karnataka,0.0,1.31,0.0,2.33,9.41,0.0,1.67,10.0,3.41,0.94,2.23,0.48,0.0,0.91,0.91,0.57,3.37,3.25,1.7,2004
Kerala,0.0,0.37,0.0,51.16,6.500000000000001,0.38,1.03,3.75,1.02,0.0,0.51,2.5,0.0,1.07,1.07,6.8,1.03,1.13,1.29,2004
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004
Madhya Pradesh,27.45,30.04,25.0,10.07,52.05,75.97,32.11,13.75,16.72,17.84,24.53,162.64000000000001,0.0,33.08,33.08,16.52,6.84,12.87,27.36,2004
