state_nm,Arson,Attempt to murder,CH not amounting to murder,Cheating/Criminal breach of trust/Counterfeiting,Dacoity/Robbery/Theft/Burglary,Harrasment,Hurt,Kidnapping(Children),Kidnapping(Total),Kidnapping(Women),Murder,Others,Rape(Custodial),Rape(Others),Rape(Total),Riots,Theft(Auto),Theft(Other),Total Cognizable Under IPC,year
Maharashtra,19.61,13.62,10.0,72.72,163.26999999999998,19.5,25.34,11.25,11.95,12.21,20.07,91.19,0.0,9.6,9.6,25.22,27.81,24.93,19.94,2004
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004
Meghalaya,0.0,0.0,0.0,0.0,4.03,0.0,0.07,0.0,0.0,0.0,0.51,0.25,0.0,1.07,1.07,0.0,0.47,0.31,0.21,2004
Mizoram,9.8,0.56,0.0,16.23,7.1000000000000005,3.95,0.42,1.25,0.34,0.0,0.17,3.31,0.0,0.3,0.3,0.0,0.0,5.42,2.45,2004
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.0,0.0,0.01,2004
Odisha,1.96,0.75,0.0,1.74,6.6899999999999995,1.32,0.27,0.0,0.68,0.94,2.06,2.4699999999999998,0.0,2.59,2.59,1.08,0.09,2.5,1.43,2004
Puducherry,0.0,0.0,0.0,1.16,1.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.66,0.46,0.22,2004
Punjab,0.0,0.19,0.0,1.74,0.96,0.47,0.2,0.0,0.68,0.94,0.86,0.67,0.0,0.0,0.0,0.0,0.0,0.38,0.32,2004
Rajasthan,3.92,16.98,5.0,4.07,17.88,4.609999999999999,7.73,6.25,6.48,6.57,8.4,24.05,0.0,4.88,4.88,6.23,8.9,5.19,6.99,2004
Sikkim,0.0,0.75,5.0,0.0,0.1,0.19,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.05,2004
Tamil Nadu,5.88,2.61,0.0,1.16,15.530000000000001,4.4,1.89,0.0,2.39,3.29,4.46,0.9000000000000001,0.0,2.44,2.44,1.08,3.75,8.43,3.22,2004
Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004
Uttar Pradesh,0.0,0.75,15.0,0.0,1.01,1.4,0.05,20.0,8.19,3.76,2.92,3.35,0.0,2.13,2.13,0.13,0.56,0.38,0.52,2004
Uttarakhand,0.0,0.0,0.0,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.06,0.06,2004
West Bengal,0.0,0.0,15.0,2.08,1.6600000000000001,1.13,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.46,0.46,0.57,0.0,1.17,0.36,2004
Andaman & Nicobar Island,0.0,0.19,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.26,0.02,0.04,2005
Andhra Pradesh,0.0,0.19,6.45,5.39,25.09,22.65,5.3,14.29,7.35,4.62,4.49,13.829999999999998,0.0,6.34,6.34,2.98,10.68,9.36,5.59,2005
Arunanchal Pradesh,0.0,0.0,0.0,2.99,6.05,0.0,0.78,0.0,0.0,0.0,0.0,0.5,0.0,0.44,0.44,0.0,0.0,0.72,0.58,2005
Assam,0.0,0.19,0.0,0.0,13.739999999999998,0.0,0.35,0.0,14.71,20.51,3.77,0.74,0.0,1.47,1.47,0.67,0.0,2.52,1.47,2005
Bihar,1.59,3.75,6.45,2.4,9.0,0.0,0.4,10.39,3.31,0.51,3.48,8.77,0.0,1.62,1.62,0.49,0.86,1.83,1.22,2005
Chandigarh,0.0,0.0,0.0,0.0,1.69,0.16,0.08,0.0,0.37,0.51,0.14,0.39,0.0,0.15,0.15,0.3,0.69,0.82,0.45,2005
Chhattisgarh,26.98,5.63,0.0,11.709999999999999,37.760000000000005,11.66,6.07,1.3,4.78,6.15,7.97,20.910000000000004,0.0,12.98,12.98,5.17,4.74,4.78,6.64,2005
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.05,0.0,0.21,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.18,0.17,0.02,0.07,2005
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
Delhi,0.0,4.32,16.13,8.11,23.47,22.08,1.55,20.78,10.29,6.15,5.22,20.810000000000002,0.0,9.73,9.73,0.55,6.03,2.81,4.41,2005
Goa,0.0,0.0,0.0,0.0,1.51,0.8,0.05,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.06,0.69,0.39,0.24,2005
Gujarat,4.76,4.69,0.0,71.32000000000001,33.55,3.7800000000000002,7.01,3.9,6.62,7.69,3.62,21.990000000000002,0.0,2.36,2.36,12.71,19.29,7.74,7.2,2005
Haryana,0.0,5.63,0.0,77.51,46.34,17.72,6.66,5.19,6.25,6.67,3.62,14.239999999999998,0.0,3.24,3.24,7.73,5.94,1.68,4.75,2005
Himachal Pradesh,0.0,1.13,6.45,0.0,1.33,0.47,0.72,0.0,1.84,2.56,0.72,3.0,0.0,1.18,1.18,1.64,0.0,0.59,0.72,2005
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.02,0.31,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2005
Jharkhand,0.0,12.76,0.0,7.78,39.440000000000005,5.359999999999999,1.93,10.39,4.04,1.54,5.94,18.21,0.0,3.69,3.69,4.44,1.55,1.42,3.48,2005
Karnataka,4.76,0.56,0.0,0.0,9.92,0.0,0.48,0.0,0.37,0.51,1.3,0.1,0.0,0.15,0.15,0.36,1.29,1.93,0.93,2005
Kerala,0.0,0.56,0.0,1.2,3.7800000000000002,3.9699999999999998,1.31,1.3,0.74,0.51,1.16,0.49,0.0,1.47,1.47,9.73,1.03,1.17,1.5,2005
Lakshadweep,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
Madhya Pradesh,15.87,18.57,19.35,20.56,46.67,58.89,25.79,7.79,19.12,23.59,18.99,102.39,0.0,24.93,24.93,7.36,6.46,12.38,22.35,2005
Maharashtra,20.63,20.08,19.35,41.370000000000005,139.63,22.39,30.6,7.79,8.09,8.21,19.86,109.74000000000001,0.0,13.42,13.42,32.91,27.05,27.54,22.44,2005
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
Meghalaya,0.0,0.0,0.0,0.0,6.260000000000001,0.0,0.11,0.0,0.37,0.51,1.01,0.37,0.0,1.77,1.77,0.0,0.17,0.41,0.37,2005
Mizoram,0.0,0.56,0.0,24.330000000000002,4.49,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,4.19,1.27,2005
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.01,2005
Odisha,6.35,2.63,0.0,1.2,8.74,9.77,1.1,3.9,1.84,1.03,3.77,31.799999999999997,0.0,2.8,2.8,2.31,0.43,3.14,2.35,2005
Puducherry,0.0,0.0,0.0,0.0,0.45999999999999996,0.0,0.24,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.25,0.16,2005
Punjab,0.0,1.69,0.0,7.19,0.64,1.58,0.45,0.0,1.47,2.05,0.87,2.73,0.0,0.44,0.44,0.0,0.0,0.25,0.44,2005
Rajasthan,14.29,12.57,3.23,15.77,19.47,5.78,6.02,11.69,6.62,4.62,6.09,19.380000000000003,0.0,5.31,5.31,4.32,7.32,5.34,6.86,2005
Sikkim,0.0,0.0,0.0,0.0,0.31,0.0,0.13,0.0,0.0,0.0,0.29,0.02,0.0,0.29,0.29,0.06,0.0,0.08,0.09,2005
Tamil Nadu,4.76,3.0,6.45,0.0,12.25,10.37,0.91,0.0,0.37,0.51,5.22,4.08,0.0,2.95,2.95,4.99,4.31,7.02,3.38,2005
Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
Uttar Pradesh,0.0,1.31,12.9,0.0,0.74,2.08,0.03,0.0,1.1,1.54,1.88,3.96,0.0,0.74,0.74,0.36,0.0,0.45,0.41,2005
Uttarakhand,0.0,0.0,0.0,1.2,0.43,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.18,0.13,2005
West Bengal,0.0,0.0,3.23,0.0,6.949999999999999,0.16,0.32,1.3,0.37,0.0,0.43,1.11,0.0,1.47,1.47,0.36,0.17,0.96,0.39,2005
Andaman & Nicobar Island,0.0,0.0,0.0,2.08,0.8500000000000001,0.37,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.06,,,0.16,2006
Andhra Pradesh,5.88,1.71,24.49,3.12,45.36,35.88,6.02,8.91,9.28,9.44,5.91,14.11,0.0,7.81,7.81,4.55,,,6.14,2006
Arunanchal Pradesh,0.0,0.0,0.0,0.0,0.68,0.0,0.43,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,,,0.3,2006
Assam,1.96,0.0,0.0,0.0,14.28,0.74,0.69,0.99,2.99,3.86,2.48,1.4500000000000002,0.0,1.16,1.16,3.71,,,2.0,2006
Bihar,0.0,1.4,0.0,0.0,5.6899999999999995,0.37,0.31,0.99,0.9,0.86,1.24,5.140000000000001,0.0,1.3,1.3,1.26,,,0.85,2006
Chandigarh,0.0,0.16,0.0,5.26,2.92,0.93,0.16,0.0,0.0,0.0,0.28,0.27,0.0,0.14,0.14,0.06,,,0.39,2006
Chhattisgarh,7.84,5.28,2.04,13.19,36.14,14.63,8.75,8.91,3.89,1.72,7.02,21.86,0.0,9.99,9.99,4.25,,,6.75,2006
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.41,0.03,0.0,0.0,0.0,0.0,,,0.03,2006
Daman & Diu,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,,,0.02,2006
Delhi,0.0,4.04,12.24,4.17,43.99,15.379999999999999,2.48,19.8,11.98,8.58,2.75,13.94,0.0,7.24,7.24,3.95,,,4.82,2006
Goa,0.0,0.31,0.0,1.04,1.86,0.0,0.04,0.0,0.3,0.43,0.14,0.32,0.0,0.14,0.14,0.18,,,0.25,2006
Gujarat,11.76,3.88,0.0,18.86,50.59,4.76,5.77,4.95,11.38,14.16,5.36,31.759999999999998,0.0,1.74,1.74,13.82,,,7.9,2006
Haryana,0.0,3.11,0.0,68.31,56.26,14.86,5.5,2.97,5.69,6.87,2.75,19.279999999999998,0.0,4.63,4.63,5.2,,,4.66,2006
Himachal Pradesh,0.0,0.93,2.04,0.0,0.8300000000000001,1.12,0.4,0.0,0.0,0.0,0.28,1.27,0.0,0.87,0.87,0.9,,,0.44,2006
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,,,0.03,2006
Jharkhand,13.73,10.4,12.24,5.21,19.93,1.3,3.49,11.88,6.89,4.72,5.23,18.08,0.0,5.21,5.21,5.5,,,3.12,2006
Karnataka,0.0,4.04,2.04,0.0,38.98,1.7000000000000002,1.66,0.0,0.6,0.86,1.38,1.26,0.0,2.03,2.03,1.08,,,1.81,2006
Kerala,1.96,0.47,2.04,2.08,18.74,2.97,1.39,0.0,0.9,1.29,0.55,0.75,0.0,1.01,1.01,5.26,,,1.49,2006
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2006
Madhya Pradesh,21.57,21.12,14.29,16.32,68.88,69.72,26.91,9.9,19.46,23.61,21.46,109.36,0.0,28.36,28.36,8.79,,,22.07,2006
Maharashtra,25.49,22.52,12.24,118.68,187.98000000000002,21.09,27.99,11.88,12.87,13.3,20.36,65.07,0.0,13.6,13.6,31.58,,,22.18,2006
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2006
Meghalaya,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,1.38,0.2,0.0,0.58,0.58,0.0,,,0.22,2006
Mizoram,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.29,0.29,0.0,,,0.31,2006
Nagaland,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,,,0.01,2006
Odisha,1.96,2.48,0.0,2.08,16.119999999999997,2.62,0.47,10.89,3.29,0.0,4.13,6.87,0.0,2.75,2.75,1.02,,,2.16,2006
Puducherry,0.0,0.16,0.0,0.0,0.8600000000000001,0.95,0.07,0.0,0.9,1.29,0.0,0.02,0.0,0.0,0.0,0.0,,,0.13,2006
Punjab,0.0,1.09,0.0,0.0,3.08,1.17,0.31,1.98,0.9,0.43,0.69,5.09,0.0,0.0,0.0,0.0,,,0.43,2006
Rajasthan,3.92,10.56,0.0,26.39,40.95,4.28,5.75,2.97,5.09,6.01,8.25,24.02,0.0,4.78,4.78,7.06,,,7.09,2006
Sikkim,0.0,0.0,0.0,0.0,1.79,0.37,0.16,0.0,0.0,0.0,0.0,0.02,0.0,0.14,0.14,0.0,,,0.13,2006
Tamil Nadu,3.92,3.73,0.0,0.0,19.73,3.85,0.98,0.0,0.0,0.0,3.44,46.800000000000004,0.0,1.16,1.16,0.84,,,2.76,2006
Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2006
Uttar Pradesh,0.0,1.55,12.24,0.0,2.8000000000000003,0.37,0.02,0.0,0.3,0.43,3.03,9.77,0.0,1.3,1.3,0.0,,,0.57,2006
Uttarakhand,0.0,0.47,0.0,13.19,2.33,0.19,0.09,0.99,1.2,1.29,0.69,1.3900000000000001,0.0,1.88,1.88,0.06,,,0.38,2006
West Bengal,0.0,0.62,4.08,0.0,11.21,0.37,0.07,1.98,1.2,0.86,0.55,0.07,0.0,1.88,1.88,0.72,,,0.42,2006
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.32,0.0,0.06,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.1,2007
Andhra Pradesh,3.03,3.21,25.58,14.55,31.379999999999995,23.7,5.3,5.06,9.09,6.34,7.04,24.75,0.0,8.0,8.0,1.43,9.47,9.96,6.05,2007
Arunanchal Pradesh,0.0,0.0,0.0,0.0,4.0,0.0,0.39,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.73,0.39,0.35,2007
Assam,0.0,0.15,0.0,10.47,17.55,3.78,2.69,6.75,6.36,6.63,2.91,2.27,0.0,3.03,3.03,7.22,2.18,6.92,3.88,2007
Bihar,1.52,10.86,4.65,38.33,19.29,1.16,4.3,7.59,24.55,12.97,4.98,37.43,0.0,4.48,4.48,15.33,1.17,3.28,4.69,2007
Chandigarh,0.0,0.31,2.33,0.0,1.69,0.0,0.08,0.0,0.0,0.0,0.12,0.44,0.0,0.36,0.36,0.31,0.8,0.83,0.39,2007
Chhattisgarh,6.06,4.89,2.33,39.09,23.419999999999998,11.02,5.22,0.84,0.91,0.86,4.85,23.049999999999997,0.0,7.27,7.27,3.36,4.44,4.46,5.29,2007
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.04,2007
Daman & Diu,1.52,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.03,0.05,2007
Delhi,0.0,3.06,0.0,9.29,19.02,4.55,0.97,2.11,0.91,1.73,3.03,8.18,0.0,3.76,3.76,1.03,3.57,4.65,2.81,2007
Goa,1.52,0.0,0.0,0.0,1.26,0.19,0.02,0.84,0.0,0.58,0.0,2.0100000000000002,0.0,0.24,0.24,0.04,0.36,0.44,0.26,2007
Gujarat,4.55,3.82,2.33,3.57,29.580000000000002,11.13,6.44,12.66,1.82,9.22,5.34,22.049999999999997,0.0,3.15,3.15,8.02,16.53,6.81,7.65,2007
Haryana,0.0,3.21,0.0,51.82,43.74,18.17,5.48,7.59,5.45,6.92,3.88,22.75,0.0,3.52,3.52,4.66,8.67,2.33,4.89,2007
Himachal Pradesh,0.0,0.15,0.0,0.0,0.6699999999999999,1.16,0.5,0.42,0.0,0.29,0.36,1.7200000000000002,0.0,1.21,1.21,0.72,0.29,0.16,0.49,2007
Jammu & Kashmir,1.52,0.46,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.12,0.0,0.0,0.03,0.05,2007
Jharkhand,3.03,2.91,4.65,26.3,5.99,0.58,1.76,1.27,8.18,3.46,3.16,1.46,0.0,2.06,2.06,2.15,1.31,1.45,1.57,2007
Karnataka,1.52,3.06,4.65,3.57,16.77,1.74,1.06,0.84,1.82,1.15,2.43,1.3,0.0,1.21,1.21,1.26,2.48,2.27,1.69,2007
Kerala,0.0,1.38,2.33,4.55,10.309999999999999,1.16,1.97,0.84,1.82,1.15,0.85,0.75,0.0,0.61,0.61,11.39,3.2,1.36,2.12,2007
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Madhya Pradesh,13.64,24.01,16.28,5.71,41.51,75.43,27.98,9.7,5.45,8.36,16.99,107.81,0.0,28.48,28.48,7.53,6.05,10.74,21.52,2007
Maharashtra,37.88,19.42,4.65,49.37,165.84,28.07,27.55,15.61,14.55,15.27,22.09,81.69,0.0,11.64,11.64,27.88,23.45,24.0,20.98,2007
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Meghalaya,7.58,0.31,0.0,0.0,2.86,0.58,0.02,0.0,0.0,0.0,0.36,3.25,0.0,1.09,1.09,0.0,0.07,0.47,0.35,2007
Mizoram,0.0,0.0,0.0,0.0,1.45,0.19,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.73,0.73,0.0,0.0,0.62,0.27,2007
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Odisha,4.55,2.75,2.33,8.33,8.67,2.7,1.03,2.11,0.91,1.73,3.4,6.34,0.0,3.88,3.88,1.3,0.22,3.18,2.11,2007
Puducherry,0.0,0.0,0.0,0.0,0.77,1.85,0.1,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.22,0.0,0.39,0.21,2007
Punjab,0.0,0.46,0.0,0.0,2.04,0.0,0.27,0.0,0.0,0.0,0.12,0.4,0.0,0.48,0.48,0.0,0.22,0.28,0.35,2007
Rajasthan,12.12,11.77,0.0,4.29,24.12,5.79,5.17,5.49,5.45,5.48,6.07,21.619999999999997,0.0,6.3,6.3,1.66,9.32,6.81,6.61,2007
Sikkim,0.0,0.0,2.33,1.43,0.36,0.19,0.35,0.0,0.0,0.0,0.24,0.52,0.0,0.73,0.73,1.03,0.0,0.24,0.3,2007
Tamil Nadu,0.0,2.6,2.33,2.86,16.54,0.39,0.99,0.84,1.82,1.15,5.46,1.23,0.0,1.82,1.82,1.75,4.3,5.68,2.82,2007
Tripura,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2007
Uttar Pradesh,0.0,0.46,6.98,8.33,3.67,5.64,0.14,17.72,4.55,13.54,4.49,27.560000000000002,0.0,2.42,2.42,1.08,0.87,0.98,1.39,2007
Uttarakhand,0.0,0.15,4.65,9.09,4.0200000000000005,0.0,0.1,1.27,0.0,0.86,0.73,0.11,0.0,0.61,0.61,0.13,0.29,0.64,0.39,2007
West Bengal,0.0,0.46,11.63,0.71,2.7399999999999998,0.8200000000000001,0.02,0.42,6.36,2.31,0.85,0.5,0.0,2.79,2.79,0.09,0.0,0.44,0.34,2007
Andaman & Nicobar Island,1.12,0.0,0.0,0.0,0.9099999999999999,0.0,0.04,0.0,0.0,0.0,0.67,0.17,0.0,0.0,0.0,0.09,,,0.17,2008
Andhra Pradesh,4.49,2.28,15.38,13.92,33.410000000000004,27.08,4.33,4.84,5.71,5.5,3.88,17.2,0.0,6.03,6.03,0.81,,,4.9,2008
Arunanchal Pradesh,0.0,0.0,0.0,0.0,2.2700000000000005,0.49,0.24,0.0,3.9299999999999997,0.34,0.0,0.23,0.0,0.0,0.0,0.09,,,0.27,2008
Assam,6.74,0.14,11.54,8.059999999999999,12.52,0.16,0.96,11.29,9.549999999999999,4.12,3.55,1.2,0.0,4.75,4.75,3.0,,,2.07,2008
Bihar,5.62,6.56,3.85,45.879999999999995,12.46,2.31,2.46,23.39,16.46,8.25,6.32,15.3,0.0,4.29,4.29,11.11,,,3.76,2008
Chandigarh,0.0,0.14,0.0,0.0,4.44,0.0,0.11,0.0,2.94,0.69,0.0,0.35,0.0,0.0,0.0,0.81,,,0.51,2008
Chhattisgarh,17.98,7.56,0.0,3.12,27.26,20.8,6.49,4.03,10.629999999999999,5.84,5.99,33.099999999999994,0.0,9.5,9.5,3.58,,,9.16,2008
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.52,0.66,0.0,0.0,0.24,0.34,0.0,0.03,0.0,0.0,0.0,0.0,,,0.07,2008
Daman & Diu,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,0.04,2008
Delhi,2.25,3.85,11.54,6.1,23.400000000000002,1.49,0.49,0.0,5.25,5.15,3.88,6.61,0.0,2.78,2.78,0.13,,,1.68,2008
