state_nm,Arson,Attempt to murder,CH not amounting to murder,Cheating/Criminal breach of trust/Counterfeiting,Dacoity/Robbery/Theft/Burglary,Harrasment,Hurt,Kidnapping(Children),Kidnapping(Total),Kidnapping(Women),Murder,Others,Rape(Custodial),Rape(Others),Rape(Total),Riots,Theft(Auto),Theft(Other),Total Cognizable Under IPC,year
Goa,0.0,0.0,0.0,0.62,1.44,1.0,0.02,0.0,1.2999999999999998,0.69,0.11,0.13,0.0,0.12,0.12,0.45,,,0.21,2008
Gujarat,2.25,3.14,0.0,20.279999999999998,42.199999999999996,3.9499999999999997,6.41,2.42,15.53,8.25,6.32,24.36,0.0,1.62,1.62,7.75,,,6.92,2008
Haryana,1.12,3.71,11.54,57.59,46.559999999999995,17.29,4.88,8.06,11.95,8.93,3.55,20.520000000000003,0.0,2.78,2.78,4.84,,,4.92,2008
Himachal Pradesh,0.0,0.71,0.0,11.729999999999999,2.16,0.33,0.24,0.0,0.24,0.34,0.33,0.73,0.0,0.58,0.58,0.85,,,0.52,2008
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,,,0.04,2008
Jharkhand,3.37,1.57,0.0,4.07,10.780000000000001,1.48,1.14,9.68,17.06,0.34,2.44,5.6,0.0,3.59,3.59,2.1,,,1.54,2008
Karnataka,0.0,3.85,0.0,5.56,25.21,0.66,0.53,0.81,5.98,0.0,3.77,2.71,0.0,1.04,1.04,1.16,,,1.52,2008
Kerala,1.12,1.71,0.0,0.0,18.88,2.31,2.63,0.0,1.47,0.34,1.22,3.02,0.0,1.85,1.85,7.52,,,2.32,2008
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2008
Madhya Pradesh,12.36,22.54,15.38,9.309999999999999,69.86,62.72,28.9,8.06,14.459999999999999,11.34,14.52,120.96000000000001,0.0,25.26,25.26,9.67,,,20.43,2008
Maharashtra,25.84,21.11,11.54,102.03,161.26000000000002,34.08,26.37,5.65,40.09,8.59,20.29,69.32,0.0,14.72,14.72,29.38,,,21.25,2008
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2008
Meghalaya,0.0,1.57,0.0,0.0,1.35,0.16,0.02,2.42,6.199999999999999,1.37,1.33,0.6,0.0,1.39,1.39,0.0,,,0.42,2008
Mizoram,0.0,0.0,0.0,0.0,1.39,0.33,0.04,0.81,0.24,0.0,0.0,0.09,0.0,0.12,0.12,0.0,,,0.19,2008
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2008
Odisha,1.12,3.57,0.0,0.62,15.73,6.12,1.39,0.0,4.46,3.44,1.88,7.02,0.0,3.13,3.13,1.48,,,2.44,2008
Puducherry,0.0,0.43,0.0,0.0,1.25,0.0,0.13,0.0,0.0,0.0,0.22,0.01,0.0,0.0,0.0,0.09,,,0.16,2008
Punjab,0.0,0.29,7.69,2.34,4.21,0.33,0.39,0.81,0.24,0.0,0.89,0.82,0.0,1.16,1.16,0.0,,,0.33,2008
Rajasthan,7.87,11.98,0.0,6.88,41.36,5.25,4.33,8.06,14.8,16.49,7.1,32.47,0.0,5.91,5.91,3.36,,,7.15,2008
Sikkim,2.25,0.0,0.0,0.0,1.04,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,,,0.11,2008
Tamil Nadu,3.37,2.71,0.0,0.0,22.490000000000002,0.82,3.04,0.0,1.95,1.03,4.1,6.68,0.0,0.93,0.93,1.3,,,3.18,2008
Tripura,1.12,0.0,0.0,0.0,0.74,0.0,0.09,0.81,0.24,0.0,0.11,1.11,0.0,0.35,0.35,0.31,,,0.14,2008
Uttar Pradesh,0.0,0.0,7.69,0.0,4.119999999999999,2.83,0.13,5.65,6.27,6.53,4.88,25.080000000000002,0.0,3.71,3.71,0.13,,,1.06,2008
Uttarakhand,0.0,0.29,3.85,1.88,3.13,0.0,0.23,0.0,0.0,0.0,0.78,1.23,0.0,0.46,0.46,0.0,,,0.39,2008
West Bengal,0.0,0.29,0.0,0.0,7.459999999999999,7.38,3.86,3.23,2.8200000000000003,2.06,1.88,3.28,0.0,3.94,3.94,9.67,,,2.13,2008
Andaman & Nicobar Island,0.0,0.27,0.0,0.0,0.37,0.7,0.0,0.0,0.0,0.0,0.2,0.18,0.0,0.0,0.0,0.25,0.0,0.04,0.13,2009
Andhra Pradesh,1.06,0.96,0.0,22.5,20.740000000000002,48.959999999999994,4.74,5.11,6.74,7.43,2.8,13.32,0.0,6.99,6.99,1.73,8.32,9.09,5.31,2009
Arunanchal Pradesh,0.0,0.0,0.0,0.0,1.7400000000000002,0.0,0.87,0.0,0.0,0.0,0.0,0.79,0.0,0.34,0.34,0.49,0.0,0.09,0.48,2009
Assam,1.06,0.55,0.0,0.79,13.23,0.38,0.59,12.41,5.65,2.79,1.4,0.46,0.0,4.4,4.4,1.83,0.42,5.75,1.92,2009
Bihar,13.83,6.18,12.12,14.54,13.51,2.08,1.21,17.52,9.13,5.57,6.61,13.660000000000002,0.0,3.72,3.72,9.58,1.62,2.72,3.38,2009
Chandigarh,0.0,0.0,3.03,18.240000000000002,1.32,0.0,0.11,0.0,0.0,0.0,0.2,0.5,0.0,0.45,0.45,0.84,0.47,0.95,0.46,2009
Chhattisgarh,24.47,10.44,0.0,2.36,32.82,25.96,7.93,4.38,3.7,3.41,6.01,26.18,0.0,10.37,10.37,5.48,4.13,4.54,9.87,2009
Dadara & Nagar Havelli,0.0,0.14,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.23,0.23,0.1,0.0,0.35,0.09,2009
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,2009
Delhi,0.0,4.95,21.21,11.48,16.42,1.32,1.46,0.0,3.04,4.33,7.21,5.58,0.0,3.49,3.49,0.25,3.19,2.25,2.02,2009
Goa,0.0,0.14,0.0,0.0,1.26,0.19,0.11,0.73,0.22,0.0,0.5,0.17,0.0,0.34,0.34,0.0,0.94,0.13,0.26,2009
Gujarat,2.13,3.3,0.0,30.509999999999998,20.59,3.5300000000000002,7.84,2.92,7.17,8.98,3.9,32.88,0.0,2.48,2.48,8.15,11.93,5.7,6.45,2009
Haryana,0.0,3.02,0.0,72.58,38.24,3.7199999999999998,5.81,5.84,7.61,8.36,3.4,14.8,0.0,2.93,2.93,4.05,5.86,2.16,4.11,2009
Himachal Pradesh,1.06,0.41,0.0,0.0,1.9700000000000002,0.94,0.36,0.0,0.0,0.0,0.9,1.16,0.0,0.79,0.79,0.99,0.42,0.39,0.56,2009
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.09,0.19,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.03,2009
Jharkhand,6.38,4.67,3.03,1.57,16.419999999999998,2.26,2.26,12.41,5.87,3.1,7.01,18.03,0.0,6.88,6.88,3.26,1.31,2.25,2.51,2009
Karnataka,0.0,1.79,0.0,9.9,7.81,1.64,0.55,0.73,0.43,0.31,2.9,0.65,0.0,0.9,0.9,0.64,0.99,0.84,0.87,2009
Kerala,3.19,1.37,0.0,8.33,9.76,2.84,1.98,0.73,0.87,0.93,0.5,1.33,0.0,0.45,0.45,9.83,4.5,1.88,2.34,2009
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
Madhya Pradesh,7.45,14.84,12.12,18.93,45.56,47.04,23.14,10.95,11.52,11.76,12.41,91.21000000000001,0.0,22.89,22.89,9.88,3.92,8.14,17.86,2009
Maharashtra,24.47,22.66,12.12,44.83,177.31,35.540000000000006,27.91,11.68,9.78,8.98,18.42,84.37,0.0,10.03,10.03,36.74,34.75,27.22,22.31,2009
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
Meghalaya,1.06,0.0,0.0,0.0,2.6500000000000004,0.0,0.21,0.0,0.0,0.0,1.0,0.14,0.0,0.56,0.56,0.0,0.0,0.69,0.3,2009
Mizoram,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.1,0.15,0.07,2009
Nagaland,0.0,0.0,6.06,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,2009
Odisha,0.0,2.2,0.0,17.46,12.439999999999998,1.95,0.48,0.0,0.87,1.24,1.9,2.5199999999999996,0.0,3.27,3.27,0.79,0.21,3.02,1.6,2009
Puducherry,0.0,0.14,0.0,0.0,4.99,0.19,0.52,0.0,0.0,0.0,1.0,0.21,0.0,0.0,0.0,0.0,0.58,0.22,0.27,2009
Punjab,0.0,1.79,0.0,1.57,1.77,0.57,0.52,1.46,1.52,1.55,1.2,6.1000000000000005,0.0,0.9,0.9,0.0,0.42,0.5,0.69,2009
Rajasthan,10.64,13.05,12.12,16.48,29.299999999999997,11.139999999999999,6.27,9.49,13.26,14.86,7.71,25.15,0.0,6.43,6.43,1.93,9.16,5.81,7.93,2009
Sikkim,0.0,0.14,0.0,0.0,0.5900000000000001,0.0,0.11,0.0,0.0,0.0,0.2,0.32999999999999996,0.0,0.23,0.23,0.69,0.0,0.56,0.21,2009
Tamil Nadu,2.13,4.67,0.0,6.3,17.97,2.9099999999999997,3.35,0.0,0.87,1.24,5.31,26.82,0.0,1.92,1.92,0.94,4.5,10.17,4.93,2009
Tripura,1.06,0.14,0.0,0.0,1.1199999999999999,0.0,0.55,0.0,0.0,0.0,0.2,2.1199999999999997,0.0,1.24,1.24,0.54,0.16,0.24,0.3,2009
Uttar Pradesh,0.0,1.92,15.15,0.0,2.6,4.86,0.5,3.65,8.7,10.84,5.41,28.689999999999998,0.0,4.51,4.51,0.2,0.84,2.14,1.51,2009
Uttarakhand,0.0,0.14,3.03,1.57,2.71,0.38,0.27,0.0,0.65,0.93,0.4,1.51,0.0,0.68,0.68,0.25,1.1,0.93,0.62,2009
West Bengal,0.0,0.14,0.0,0.0,3.6500000000000004,0.57,0.32,0.0,2.39,3.41,0.9,1.02,0.0,2.48,2.48,0.49,0.16,0.97,0.55,2009
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.34,0.51,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.32,0.32,0.06,,,0.09,2010
Andhra Pradesh,6.67,1.72,8.11,12.27,49.49,51.19,5.57,6.54,7.64,8.03,7.56,18.93,0.0,9.28,9.28,2.05,,,6.78,2010
Arunanchal Pradesh,0.0,0.0,2.7,0.0,1.46,0.17,0.64,0.0,0.0,0.0,0.0,0.17,0.0,0.43,0.43,0.58,,,0.29,2010
Assam,2.67,0.0,0.0,0.61,6.58,1.34,0.75,14.38,5.43,2.29,1.42,2.05,0.0,3.95,3.95,2.24,,,1.39,2010
Bihar,1.33,4.06,8.11,0.61,32.97,1.51,1.23,14.38,12.05,11.24,5.08,6.2299999999999995,0.0,2.77,2.77,4.28,,,2.52,2010
Chandigarh,0.0,0.94,2.7,1.22,12.55,0.0,0.29,0.0,0.0,0.0,1.06,0.5,0.0,0.75,0.75,0.9,,,0.6,2010
Chhattisgarh,16.0,9.84,0.0,45.15,31.4,25.72,8.94,0.0,2.38,3.21,5.9,21.9,0.0,7.47,7.47,8.31,,,7.75,2010
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.5900000000000001,0.33,0.02,0.0,0.34,0.46,0.0,0.02,0.0,0.0,0.0,0.0,,,0.07,2010
Daman & Diu,0.0,0.47,0.0,0.0,0.8600000000000001,0.0,0.02,0.0,0.0,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,,,0.03,2010
Delhi,0.0,4.06,0.0,1.22,23.329999999999995,1.34,1.23,3.27,1.87,1.38,6.49,2.43,0.0,4.27,4.27,0.45,,,2.27,2010
Goa,0.0,0.0,0.0,0.0,2.7,0.33,0.02,0.0,0.17,0.23,0.0,1.11,0.0,0.11,0.11,0.26,,,0.28,2010
Gujarat,2.67,3.12,0.0,25.54,38.4,4.029999999999999,6.38,3.92,6.45,7.34,5.67,29.39,0.0,1.81,1.81,5.31,,,6.14,2010
Haryana,2.67,2.03,0.0,34.08,13.11,1.51,4.49,1.31,2.89,3.44,2.72,5.74,0.0,2.45,2.45,3.13,,,3.04,2010
Himachal Pradesh,5.33,0.16,0.0,1.22,2.0700000000000003,1.85,0.66,0.0,0.34,0.46,0.35,1.64,0.0,1.07,1.07,1.53,,,0.75,2010
Jammu & Kashmir,0.0,0.78,0.0,3.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.11,0.11,0.32,,,0.1,2010
Jharkhand,0.0,0.0,0.0,0.0,0.66,0.0,0.04,3.27,4.58,5.05,0.71,104.77,0.0,0.64,0.64,0.26,,,0.35,2010
Karnataka,0.0,0.94,0.0,2.44,4.67,0.5,0.2,3.92,1.02,0.0,1.42,0.33,0.0,0.64,0.64,0.51,,,0.66,2010
Kerala,1.33,0.62,5.41,4.27,24.270000000000003,2.5300000000000002,2.62,0.0,0.85,1.15,0.59,1.22,0.0,1.07,1.07,16.05,,,2.92,2010
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2010
Madhya Pradesh,21.33,17.81,8.11,17.75,54.2,54.57,25.34,2.61,8.83,11.01,14.76,140.88,0.0,21.02,21.02,10.04,,,21.94,2010
Maharashtra,18.67,21.25,2.7,62.29,223.50000000000003,36.28,28.58,10.46,8.32,7.57,16.77,76.74,0.0,10.46,10.46,35.04,,,21.42,2010
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2010
Meghalaya,1.33,0.62,0.0,3.12,7.99,0.0,0.09,0.0,0.0,0.0,0.12,0.41,0.0,1.6,1.6,0.0,,,0.4,2010
Mizoram,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.0,0.43,0.43,0.0,,,0.28,2010
Nagaland,0.0,0.0,0.0,11.45,3.7,0.33,0.0,2.61,0.68,0.0,0.12,0.0,0.0,0.11,0.11,0.0,,,0.17,2010
Odisha,1.33,1.88,0.0,19.97,23.75,1.67,1.19,1.96,1.7,1.61,2.36,5.279999999999999,0.0,1.81,1.81,1.92,,,1.92,2010
Puducherry,0.0,0.0,0.0,1.22,1.14,0.0,0.07,0.0,0.17,0.23,0.71,0.09,0.0,0.0,0.0,0.13,,,0.16,2010
Punjab,0.0,1.41,0.0,15.04,20.55,0.33,0.53,0.65,0.51,0.46,1.53,6.87,0.0,1.39,1.39,0.0,,,0.82,2010
Rajasthan,17.33,15.47,2.7,16.259999999999998,47.14,4.35,6.01,9.8,16.13,18.35,7.56,26.89,0.0,8.86,8.86,3.07,,,8.09,2010
Sikkim,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.43,0.43,0.06,,,0.24,2010
Tamil Nadu,1.33,6.25,2.7,12.6,36.05,5.9,3.15,0.0,0.34,0.46,5.08,6.35,0.0,0.96,0.96,2.17,,,3.97,2010
Tripura,0.0,0.0,0.0,0.0,0.55,1.02,0.02,0.0,0.0,0.0,0.12,14.26,0.0,0.32,0.32,0.38,,,0.16,2010
Uttar Pradesh,0.0,4.38,43.24,7.32,16.79,1.17,0.99,11.11,9.34,8.72,10.27,17.53,0.0,10.57,10.57,0.64,,,2.84,2010
Uttarakhand,0.0,1.09,0.0,0.0,3.84,0.5,0.09,0.0,1.19,1.61,0.0,0.57,0.0,0.11,0.11,0.19,,,0.54,2010
West Bengal,0.0,1.09,13.51,1.22,10.729999999999999,1.0,0.79,9.8,6.79,5.73,1.53,5.79,0.0,4.8,4.8,0.13,,,1.01,2010
Andaman & Nicobar Island,0.0,0.12,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.08,0.08,0.0,0.0,0.04,0.03,2011
Andhra Pradesh,21.0,5.69,8.06,24.6,28.45,66.75,7.66,16.95,7.9,5.42,7.19,30.91,0.0,6.01,6.01,2.18,10.97,14.06,7.88,2011
Arunanchal Pradesh,0.0,0.24,0.0,0.0,1.1099999999999999,0.16,0.66,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.16,0.51,0.3,2011
Assam,2.0,0.12,0.0,3.74,5.390000000000001,0.64,0.2,6.21,5.47,5.26,1.54,1.81,0.0,2.92,2.92,0.34,0.16,2.64,1.38,2011
Bihar,6.0,10.41,1.61,5.61,18.64,1.8,2.85,12.99,6.44,4.64,4.45,8.899999999999999,0.0,1.38,1.38,14.61,2.25,1.56,3.46,2011
Chandigarh,0.0,1.82,0.0,0.0,7.24,0.0,0.14,0.56,0.73,0.77,0.86,0.47,0.0,0.08,0.08,0.34,0.49,0.4,0.5,2011
Chhattisgarh,12.0,4.72,0.0,12.7,26.06,18.0,10.45,0.0,1.7,2.17,4.88,19.45,0.0,6.5,6.5,4.11,3.02,5.41,7.08,2011
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.14,0.16,0.0,0.0,0.0,0.0,0.34,0.1,0.0,0.0,0.0,0.1,0.38,0.0,0.07,2011
Daman & Diu,0.0,0.0,0.0,0.0,0.6,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.05,2011
Delhi,0.0,3.87,0.0,21.7,22.439999999999998,3.1900000000000004,1.63,2.82,3.65,3.87,5.65,2.59,0.0,4.55,4.55,0.0,7.13,3.98,3.04,2011
Goa,0.0,0.85,0.0,0.0,1.9100000000000001,0.0,0.08,0.0,0.12,0.15,0.34,0.75,0.0,0.24,0.24,0.05,1.54,0.42,0.37,2011
Gujarat,4.0,2.91,1.61,6.25,37.85,3.4000000000000004,7.1,3.39,6.44,7.28,4.45,29.28,0.0,1.3,1.3,9.14,7.19,5.94,6.4,2011
Haryana,3.0,2.3,0.0,19.27,15.49,1.49,2.79,1.69,2.55,2.79,2.31,9.08,0.0,1.54,1.54,2.81,3.51,1.78,2.46,2011
Himachal Pradesh,0.0,0.24,0.0,0.0,1.92,1.71,0.5,0.0,0.49,0.62,0.43,1.9700000000000002,0.0,0.73,0.73,0.97,1.1,0.66,0.77,2011
Jammu & Kashmir,0.0,0.12,0.0,0.51,0.12,0.16,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.19,0.0,0.0,0.06,2011
Jharkhand,0.0,0.36,1.61,2.55,7.300000000000001,0.0,0.92,7.34,4.5,3.72,1.54,1.02,0.0,1.71,1.71,3.05,0.71,1.21,1.18,2011
Karnataka,1.0,1.33,0.0,2.04,6.390000000000001,0.96,0.66,1.69,2.07,2.17,2.91,2.54,0.0,0.57,0.57,1.26,0.55,0.87,1.19,2011
Kerala,5.0,1.09,1.61,1.53,17.8,3.7300000000000004,2.61,0.0,0.97,1.24,1.11,1.55,0.0,2.76,2.76,12.34,3.78,1.63,2.74,2011
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Madhya Pradesh,14.0,16.46,6.45,9.48,39.06,40.92,18.36,0.56,13.37,16.87,12.16,122.75999999999999,0.0,22.83,22.83,6.19,6.2,7.59,17.86,2011
Maharashtra,13.0,21.79,8.06,109.25,154.88,37.4,26.54,11.3,7.41,6.35,17.21,68.41000000000001,0.0,11.54,11.54,35.61,27.59,24.74,20.86,2011
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Meghalaya,0.0,0.0,0.0,0.0,3.7199999999999998,0.16,0.16,0.56,0.12,0.0,1.03,100.2,0.0,1.71,1.71,0.0,0.11,0.82,0.4,2011
Mizoram,1.0,0.0,0.0,0.0,0.63,0.48,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.24,0.24,0.0,0.0,0.38,0.18,2011
Nagaland,0.0,0.0,0.0,0.51,0.76,0.0,0.0,1.69,0.36,0.0,0.17,0.17,0.0,0.41,0.41,0.0,0.0,0.19,0.14,2011
Odisha,2.0,0.85,0.0,0.51,12.2,1.59,1.36,1.69,1.58,1.55,1.88,5.98,0.0,3.9,3.9,0.48,0.16,2.64,1.99,2011
Puducherry,0.0,0.24,0.0,0.0,3.3200000000000003,0.6900000000000001,0.26,0.0,0.0,0.0,0.34,3.4000000000000004,0.0,0.0,0.0,0.24,0.11,0.32,0.24,2011
Punjab,0.0,0.97,4.84,12.639999999999999,13.350000000000001,0.53,0.62,2.26,0.73,0.31,1.37,1.23,0.0,0.65,0.65,0.0,0.22,0.99,0.63,2011
Rajasthan,12.0,12.71,4.84,14.41,30.009999999999998,7.48,7.3,5.65,9.36,10.37,7.28,28.32,0.0,7.47,7.47,1.16,10.09,5.33,7.95,2011
Sikkim,0.0,0.0,0.0,0.0,0.5800000000000001,0.0,0.24,0.0,0.12,0.15,0.09,2.67,0.0,0.24,0.24,0.0,0.05,0.44,0.2,2011
Tamil Nadu,3.0,6.05,1.61,2.04,19.770000000000003,2.07,3.01,0.56,1.82,2.17,6.08,16.44,0.0,1.3,1.3,1.94,10.7,7.15,4.55,2011
Tripura,1.0,0.0,0.0,0.51,0.2,0.32,0.18,0.0,0.0,0.0,0.34,7.8500000000000005,0.0,0.24,0.24,0.58,0.16,0.21,0.3,2011
Uttar Pradesh,0.0,3.15,50.0,27.05,15.919999999999998,3.03,2.57,8.47,11.06,11.76,9.5,22.94,0.0,12.35,12.35,1.26,0.93,5.46,3.67,2011
Uttarakhand,0.0,0.12,1.61,0.0,1.03,0.0,0.1,1.69,1.22,1.08,0.26,0.09,0.0,0.57,0.57,0.0,0.6,0.44,0.27,2011
West Bengal,0.0,1.45,8.06,23.05,5.710000000000001,3.18,0.88,11.86,9.84,9.29,4.2,8.66,0.0,6.17,6.17,0.77,0.11,2.18,1.8,2011
